WSJID,OrderedID,Relation,Conn1Sense1,Conn1Sense2,Conn1,Conn2Sense1,Conn2Sense2,Conn2,PDTB_Arg1Begin,PDTB_Arg1End,PDTB_Arg2Begin,PDTB_Arg2End,PDTB_Arg1SpansNo,PDTB_Arg2SpansNo,PDTB_ArgOverlap,RST_Arg1IsRelation,RST_Arg1Span,RST_Arg1Diff,RST_Arg1Begin,RST_Arg1End,RST_Arg2IsRelation,RST_Arg2Span,RST_Arg2Diff,RST_Arg2Begin,RST_Arg2End,RST_RelationSpan,ExtraSpans,Sats,Nucs,arg1Sats,arg1Nucs,arg2Sats,arg2Nucs,RST_RelationName,revise,strictRevise,multiNucleiEncounters,multiNucleiRoot,attrEncounters,attrRoot,problemTraversing,sameunitTreatment,pdtbRelAttribution
600,0,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,9,136,138,210,1,1,FALSE,FALSE,1,1,9,137,TRUE,2 3,1,138,211,1 3,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
601,0,Explicit,Comparison.Contrast.Juxtaposition, EMPTY,but,EMPTY,EMPTY,EMPTY,9,105,219,275,1,1,FALSE,FALSE,1,1,9,106,FALSE,4,5,215,276,1 5,3,0,2,0,1,0,1,Contrast,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,1,Implicit,Expansion.Instantiation, EMPTY,for example,EMPTY,EMPTY,EMPTY,38,105,107,211,1,1,FALSE,FALSE,1,30,9,106,TRUE,2 3,1,107,212,1 3,0,0,0,0,0,0,0,explanation-argumentative,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,2,Explicit,Expansion.Conjunction, EMPTY,and,EMPTY,EMPTY,EMPTY,215,275,281,361,1,1,FALSE,FALSE,4,1,215,276,FALSE,5,5,277,362,4 5,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,3,Explicit,Temporal.Asynchronous.Succession, EMPTY,previously,EMPTY,EMPTY,EMPTY,365,512,526,609,1,1,FALSE,TRUE,6 7,1,365,513,FALSE,8,13,514,610,6 75,67,0,1,0,0,0,1,background,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,4,Implicit,Expansion.Conjunction, EMPTY,furthermore,EMPTY,EMPTY,EMPTY,759,902,904,1003,1,1,FALSE,TRUE,13 15,1,759,903,TRUE,16 17,1,904,1004,13 75,58,0,2,0,0,0,2,elaboration-additional,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,5,Explicit,Comparison.Contrast.Opposition, EMPTY,but,EMPTY,EMPTY,EMPTY,904,1003,1009,1088,1,1,FALSE,TRUE,16 17,1,904,1004,TRUE,18 19,5,1005,1089,16 19,0,0,0,0,0,0,0,Contrast,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,6,Explicit,Expansion.Conjunction, EMPTY,and,EMPTY,EMPTY,EMPTY,1005,1052,1058,1088,1,1,FALSE,FALSE,18,1,1005,1053,FALSE,19,5,1054,1089,18 19,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,7,Implicit,Expansion.Conjunction, EMPTY,furthermore,EMPTY,EMPTY,EMPTY,1198,1332,1334,1426,2,1,FALSE,TRUE,21 23,1,1198,1333,FALSE,24,1,1334,1427,21 24,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,8,Explicit,Contingency.Cause.Result, EMPTY,so,EMPTY,EMPTY,EMPTY,1430,1522,1527,1634,1,1,FALSE,TRUE,25 26,1,1430,1523,TRUE,27 28,4,1524,1635,20 75,52,1,1,1,0,0,1,Problem-Solution,FALSE,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
